EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_TITLE,SALARY,DEPARTMENT
EMP100,Steven,King,Steven.King@company.com,515.123.4567,37789,President,24000,Executive
EMP101,Neena,,Neena.Kochhar@company.com,515.123.4568,38616,Administration Vice President,17000,Executive
EMP102,Lex,De Haan,Lex.De Haan@company.com,515.123.4569,36904,Administration Vice President,17000,Executive
EMP103,Alexander,Hunold,Alexander.Hunold@company.com,590.423.4567,38720,Programmer,9000,IT
EMP104,Bruce,Ernst,Bruce.Ernst@company.com,590.423.4568,39223,Programmer,6000,IT
EMP105,David,Austin,David.Austin@company.com,590.423.4569,38528,Programmer,4800,IT
EMP106,Valli,Pataballa,Valli.Pataballa@company.com,590.423.4560,38753,Programmer,4800,IT
EMP107,Diana,Lorentz,Diana.Lorentz@company.com,590.423.5567,39120,Programmer,4200,IT
EMP108,Nancy,Greenberg,Nancy.Greenberg@company.com,515.124.4569,37485,Finance Manager,12008,Finance
EMP109,Daniel,Faviet,Daniel.Faviet@company.com,515.124.4169,37484,Accountant,9000,Finance
EMP110,John,Chen,John.Chen@company.com,515.124.4269,38623,Accountant,8200,Finance
EMP111,Ismael,Sciarra,Ismael.Sciarra@company.com,515.124.4369,38625,Accountant,7700,Finance
EMP112,Jose Manuel,Urman,Jose Manuel.Urman@company.com,515.124.4469,38783,Accountant,7800,Finance
EMP113,Luis,Popp,Luis.Popp@company.com,515.124.4567,39423,Accountant,6900,Finance
EMP114,Den,Raphaely,Den.Raphaely@company.com,515.127.4561,37597,Purchasing Manager,11000,Purchasing
EMP115,Alexander,Khoo,Alexander.Khoo@company.com,515.127.4562,37759,Purchasing Clerk,3100,Purchasing
EMP116,Shelli,Baida,Shelli.Baida@company.com,515.127.4563,38710,Purchasing Clerk,2900,Purchasing
EMP117,Sigal,Tobias,Sigal.Tobias@company.com,515.127.4564,38557,Purchasing Clerk,2800,Purchasing
EMP118,Guy,Himuro,Guy.Himuro@company.com,515.127.4565,39036,Purchasing Clerk,2600,Purchasing
EMP119,Karen,Colmenares,Karen.Colmenares@company.com,515.127.4566,39304,Purchasing Clerk,2500,Purchasing
EMP120,Matthew,Weiss,Matthew.Weiss@company.com,650.123.1234,38186,Stock Manager,8000,Shipping
EMP121,Adam,Fripp,Adam.Fripp@company.com,650.123.2234,38452,Stock Manager,8200,Shipping
EMP122,Payam,Kaufling,Payam.Kaufling@company.com,650.123.3234,37742,Stock Manager,7900,Shipping
EMP123,Shanta,Vollman,Shanta.Vollman@company.com,650.123.4234,38635,Stock Manager,6500,Shipping
EMP124,Kevin,Mourgos,Kevin.Mourgos@company.com,650.123.5234,39402,Stock Manager,5800,Shipping
EMP125,Julia,Nayer,Julia.Nayer@company.com,650.124.1214,38549,Stock Clerk,3200,Shipping
EMP126,Irene,Mikkilineni,Irene.Mikkilineni@company.com,650.124.1224,38988,Stock Clerk,2700,Shipping
EMP127,James,Landry,James.Landry@company.com,650.124.1334,39096,Stock Clerk,2400,Shipping
EMP128,Steven,Markle,Steven.Markle@company.com,650.124.1434,39515,Stock Clerk,2200,Shipping
EMP129,Laura,Bissot,Laura.Bissot@company.com,650.124.5234,38584,Stock Clerk,3300,Shipping
EMP130,Mozhe,Atkinson,Mozhe.Atkinson@company.com,650.124.6234,38655,Stock Clerk,2800,Shipping
EMP131,James,Marlow,James.Marlow@company.com,650.124.7234,38399,Stock Clerk,2500,Shipping
EMP132,TJ,Olson,TJ.Olson@company.com,650.124.8234,39182,Stock Clerk,2100,Shipping
EMP133,Jason,Mallin,Jason.Mallin@company.com,650.127.1934,38152,Stock Clerk,3300,Shipping
EMP134,Michael,Rogers,Michael.Rogers@company.com,650.127.1834,38955,Stock Clerk,2900,Shipping
EMP135,Ki,Gee,Ki.Gee@company.com,650.127.1734,39428,Stock Clerk,2400,Shipping
EMP136,Hazel,Philtanker,Hazel.Philtanker@company.com,650.127.1634,39484,Stock Clerk,2200,Shipping
EMP137,Renske,Ladwig,Renske.Ladwig@company.com,650.121.1234,37816,Stock Clerk,3600,Shipping
EMP138,Stephen,Stiles,Stephen.Stiles@company.com,650.121.2034,38651,Stock Clerk,3200,Shipping
EMP139,John,Seo,John.Seo@company.com,650.121.2019,38760,Stock Clerk,2700,Shipping
EMP140,Joshua,Patel,Joshua.Patel@company.com,650.121.1834,38813,Stock Clerk,2500,Shipping
EMP141,Trenna,Rajs,Trenna.Rajs@company.com,650.121.8009,37911,Stock Clerk,3500,Shipping
EMP142,Curtis,Davies,Curtis.Davies@company.com,650.121.2994,38381,Stock Clerk,3100,Shipping
EMP143,Randall,Matos,Randall.Matos@company.com,650.121.2874,38791,Stock Clerk,2600,Shipping
EMP144,Peter,Vargas,Peter.Vargas@company.com,650.121.2004,38907,Stock Clerk,2500,Shipping
EMP145,John,Russell,John.Russell@company.com,011.44.1344.429268,38261,Sales Manager,14000,Sales
EMP146,Karen,Partners,Karen.Partners@company.com,011.44.1344.467268,38357,Sales Manager,13500,Sales
EMP147,Alberto,Errazuriz,Alberto.Errazuriz@company.com,011.44.1344.429278,38421,Sales Manager,12000,Sales
EMP148,Gerald,Cambrault,Gerald.Cambrault@company.com,011.44.1344.619268,39370,Sales Manager,11000,Sales
EMP149,Eleni,Zlotkey,Eleni.Zlotkey@company.com,011.44.1344.429018,39476,Sales Manager,10500,Sales
EMP150,Peter,Tucker,Peter.Tucker@company.com,011.44.1344.129268,38382,Sales Representative,10000,Sales
EMP151,David,Bernstein,David.Bernstein@company.com,011.44.1344.345268,38435,Sales Representative,9500,Sales
EMP152,Peter,Hall,Peter.Hall@company.com,011.44.1344.478968,38584,Sales Representative,9000,Sales
EMP153,Christopher,Olsen,Christopher.Olsen@company.com,011.44.1344.498718,38806,Sales Representative,8000,Sales
EMP154,Nanette,Cambrault,Nanette.Cambrault@company.com,011.44.1344.987668,39060,Sales Representative,7500,Sales
EMP155,Oliver,Tuvault,Oliver.Tuvault@company.com,011.44.1344.486508,39409,Sales Representative,7000,Sales
EMP156,Janette,King,Janette.King@company.com,011.44.1345.429268,38016,Sales Representative,10000,Sales
EMP157,Patrick,Sully,Patrick.Sully@company.com,011.44.1345.929268,38050,Sales Representative,9500,Sales
EMP158,Allan,McEwen,Allan.McEwen@company.com,011.44.1345.829268,38200,Sales Representative,9000,Sales
EMP159,Lindsey,Smith,Lindsey.Smith@company.com,011.44.1345.729268,38421,Sales Representative,8000,Sales
EMP160,Louise,Doran,Louise.Doran@company.com,011.44.1345.629268,38701,Sales Representative,7500,Sales
EMP161,Sarath,Sewall,Sarath.Sewall@company.com,011.44.1345.529268,39024,Sales Representative,7000,Sales
EMP162,Clara,Vishney,Clara.Vishney@company.com,011.44.1346.129268,38667,Sales Representative,10500,Sales
EMP163,Danielle,Greene,Danielle.Greene@company.com,011.44.1346.229268,39160,Sales Representative,9500,Sales
EMP164,Mattea,Marvins,Mattea.Marvins@company.com,011.44.1346.329268,39471,Sales Representative,7200,Sales
EMP165,David,Lee,David.Lee@company.com,011.44.1346.529268,39501,Sales Representative,6800,Sales
EMP166,Sundar,Ande,Sundar.Ande@company.com,011.44.1346.629268,39531,Sales Representative,6400,Sales
EMP167,Amit,Banda,Amit.Banda@company.com,011.44.1346.729268,39559,Sales Representative,6200,Sales
EMP168,Lisa,Ozer,Lisa.Ozer@company.com,011.44.1343.929268,38422,Sales Representative,11500,Sales
EMP169,Harrison,Bloom,Harrison.Bloom@company.com,011.44.1343.829268,38799,Sales Representative,10000,Sales
EMP170,Tayler,Fox,Tayler.Fox@company.com,011.44.1343.729268,38741,Sales Representative,9600,Sales
EMP171,William,Smith,William.Smith@company.com,011.44.1343.629268,39136,Sales Representative,7400,Sales
EMP172,Elizabeth,Bates,Elizabeth.Bates@company.com,011.44.1343.529268,39165,Sales Representative,7300,Sales
EMP173,Sundita,Kumar,Sundita.Kumar@company.com,011.44.1343.329268,39559,Sales Representative,6100,Sales
EMP174,Ellen,Abel,Ellen.Abel@company.com,011.44.1644.429267,38118,Sales Representative,11000,Sales
EMP175,Alyssa,Hutton,Alyssa.Hutton@company.com,011.44.1644.429266,38430,Sales Representative,8800,Sales
EMP176,Jonathon,Taylor,Jonathon.Taylor@company.com,011.44.1644.429265,38800,Sales Representative,8600,Sales
EMP177,Jack,Livingston,Jack.Livingston@company.com,011.44.1644.429264,38830,Sales Representative,8400,Sales
EMP178,Kimberely,Grant,Kimberely.Grant@company.com,011.44.1644.429263,39226,Sales Representative,7000,Sales
